39, Male, United-States, Adm-clerical, Bachelors, Never-married, State-gov, White
24, Male, United-States, Handlers-cleaners, HS-grad, Married-civ-spouse, Private, White
17, Male, United-States, Other-service, 10th, Never-married, Private, White
47, Female, United-States, Machine-op-inspct, HS-grad, Divorced, Private, Black
46, Male, United-States, Sales, Some-college, Married-civ-spouse, Private, White
63, Male, Cuba, Transport-moving, 12th, Married-civ-spouse, Private, White
21, Male, United-States, Other-service, Some-college, Never-married, Private, White
18, Male, United-States, Other-service, HS-grad, Never-married, Private, Black
49, Male, United-States, Exec-managerial, Doctorate, Married-civ-spouse, State-gov, White
81, Female, United-States, Adm-clerical, HS-grad, Widowed, Self-emp-not-inc, White
36, Male, United-States, Exec-managerial, Assoc-acdm, Married-civ-spouse, Self-emp-inc, White
47, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
36, Male, United-States, Sales, Masters, Married-civ-spouse, Private, White
39, Male, United-States, Farming-fishing, Assoc-voc, Married-civ-spouse, Self-emp-not-inc, White
46, Female, United-States, Sales, Bachelors, Never-married, Private, White
43, Female, United-States, Adm-clerical, Some-college, Married-civ-spouse, Local-gov, White
39, Female, United-States, Adm-clerical, Bachelors, Divorced, Local-gov, White
29, Female, United-States, Sales, Some-college, Separated, Private, White
23, Female, United-States, Handlers-cleaners, HS-grad, Never-married, Private, Black
57, Male, United-States, Craft-repair, 10th, Married-civ-spouse, Private, White
38, Female, United-States, Sales, HS-grad, Never-married, Self-emp-not-inc, Black
25, Female, United-States, Sales, Bachelors, Never-married, Private, White
39, Male, United-States, Exec-managerial, Some-college, Married-civ-spouse, Local-gov, White
24, Male, Jamaica, Sales, Some-college, Never-married, Private, Black
56, Male, United-States, Craft-repair, Masters, Married-civ-spouse, Private, White
39, Female, United-States, Sales, 12th, Divorced, Private, White
23, Female, United-States, Sales, Assoc-voc, Never-married, Private, White
67, Female, United-States, Exec-managerial, HS-grad, Divorced, Self-emp-not-inc, White
41, Male, United-States, Adm-clerical, Bachelors, Never-married, Private, Asian-Pac-Islander
24, Female, United-States, Prof-specialty, Bachelors, Never-married, Local-gov, White
51, Male, United-States, Exec-managerial, Bachelors, Divorced, Private, Black
30, Female, United-States, Other-service, HS-grad, Divorced, Self-emp-inc, White
47, Male, United-States, Farming-fishing, HS-grad, Married-civ-spouse, Self-emp-inc, White
56, Male, United-States, Machine-op-inspct, HS-grad, Never-married, Private, White
51, Male, United-States, Craft-repair, HS-grad, Divorced, Private, White
57, Male, United-States, Exec-managerial, Some-college, Married-civ-spouse, Self-emp-not-inc, White
34, Female, United-States, Other-service, Some-college, Divorced, Private, White
24, Male, United-States, Prof-specialty, Bachelors, Never-married, Private, White
57, Male, United-States, Machine-op-inspct, HS-grad, Married-civ-spouse, Private, White
38, Male, United-States, Machine-op-inspct, HS-grad, Married-civ-spouse, Private, White
23, Female, United-States, Tech-support, HS-grad, Never-married, Private, White
35, Male, Mexico, Machine-op-inspct, 7th-8th, Married-civ-spouse, Private, White
58, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
68, Male, United-States, Prof-specialty, Doctorate, Married-civ-spouse, State-gov, White
43, Male, United-States, Exec-managerial, Some-college, Married-civ-spouse, Private, White
17, Female, United-States, Other-service, 11th, Never-married, Private, White
53, Male, United-States, Prof-specialty, Doctorate, Married-civ-spouse, State-gov, White
37, Male, United-States, Prof-specialty, Doctorate, Married-civ-spouse, Self-emp-inc, Black
63, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
31, Male, United-States, Transport-moving, Some-college, Married-spouse-absent, Private, White
29, Male, United-States, Other-service, HS-grad, Married-civ-spouse, Private, White
43, Male, United-States, Protective-serv, Some-college, Married-civ-spouse, Local-gov, White
27, Female, United-States, Prof-specialty, Prof-school, Never-married, Private, White
25, Male, United-States, Other-service, HS-grad, Never-married, Self-emp-not-inc, White
28, Female, United-States, Prof-specialty, HS-grad, Never-married, Private, White
54, Female, United-States, Sales, HS-grad, Divorced, Private, White
31, Female, United-States, Exec-managerial, Some-college, Never-married, Local-gov, Amer-Indian-Eskimo
23, Male, United-States, Tech-support, Some-college, Never-married, Private, White
19, Female, United-States, Prof-specialty, Bachelors, Never-married, Private, White
61, Female, United-States, Farming-fishing, HS-grad, Married-civ-spouse, Self-emp-not-inc, White
27, Female, United-States, Other-service, Assoc-voc, Married-civ-spouse, Self-emp-inc, White
19, Female, United-States, Adm-clerical, Some-college, Never-married, Private, Black
25, Female, United-States, Adm-clerical, HS-grad, Divorced, Local-gov, Amer-Indian-Eskimo
40, Male, United-States, Tech-support, Some-college, Married-civ-spouse, Private, White
53, Female, United-States, Other-service, 11th, Divorced, Private, White
32, Male, United-States, Prof-specialty, Bachelors, Never-married, Private, White
72, Male, United-States, Prof-specialty, Doctorate, Married-civ-spouse, Self-emp-not-inc, White
61, Male, United-States, Transport-moving, 7th-8th, Married-civ-spouse, Private, White
42, Male, United-States, Sales, HS-grad, Married-civ-spouse, Private, White
17, Female, United-States, Other-service, 10th, Never-married, Private, Amer-Indian-Eskimo
73, Male, Canada, Transport-moving, HS-grad, Married-civ-spouse, Private, White
41, Male, United-States, Craft-repair, Some-college, Separated, Self-emp-not-inc, White
23, Female, Jamaica, Machine-op-inspct, Some-college, Never-married, Private, Black
23, Female, Canada, Prof-specialty, HS-grad, Never-married, Private, White
65, Male, United-States, Adm-clerical, Assoc-voc, Married-civ-spouse, Private, White
45, Female, United-States, Sales, HS-grad, Married-civ-spouse, Self-emp-inc, White
52, Male, United-States, Tech-support, Bachelors, Married-civ-spouse, Federal-gov, Black
24, Female, United-States, Adm-clerical, Bachelors, Never-married, Local-gov, Black
23, Male, United-States, Craft-repair, Assoc-voc, Married-civ-spouse, Private, White
30, Female, United-States, Tech-support, Some-college, Divorced, Private, White
26, Male, United-States, Exec-managerial, Bachelors, Never-married, Private, White
37, Male, United-States, Farming-fishing, HS-grad, Divorced, Self-emp-not-inc, White
17, Male, United-States, Other-service, HS-grad, Never-married, Private, White
31, Male, United-States, Sales, HS-grad, Married-civ-spouse, Private, White
52, Female, United-States, Adm-clerical, HS-grad, Separated, Private, White
63, Male, United-States, Sales, Bachelors, Never-married, Private, White
27, Female, United-States, Priv-house-serv, HS-grad, Never-married, Private, White
31, Male, Mexico, Machine-op-inspct, 9th, Married-civ-spouse, Private, White
71, Female, United-States, Adm-clerical, HS-grad, Widowed, Self-emp-not-inc, White
35, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
44, Female, United-States, Adm-clerical, HS-grad, Married-civ-spouse, Private, White
36, Male, China, Prof-specialty, Masters, Married-civ-spouse, Private, Asian-Pac-Islander
22, Female, United-States, Exec-managerial, Bachelors, Never-married, Private, White
32, Male, United-States, Prof-specialty, HS-grad, Married-civ-spouse, Private, White
30, Female, United-States, Prof-specialty, Bachelors, Divorced, Local-gov, White
25, Female, United-States, Adm-clerical, Some-college, Never-married, Private, White
76, Female, United-States, Protective-serv, 7th-8th, Widowed, Private, White
41, Male, United-States, Craft-repair, HS-grad, Divorced, Private, White
26, Male, United-States, Machine-op-inspct, 7th-8th, Married-civ-spouse, Private, Other
32, Female, United-States, Adm-clerical, Some-college, Divorced, Private, White
22, Male, United-States, Craft-repair, HS-grad, Never-married, Private, White
39, Male, United-States, Sales, Bachelors, Married-civ-spouse, Private, White
63, Male, United-States, Transport-moving, Bachelors, Never-married, Self-emp-not-inc, White
23, Female, United-States, Transport-moving, Assoc-acdm, Never-married, Private, White
61, Male, United-States, Machine-op-inspct, 10th, Married-civ-spouse, Private, White
31, Male, United-States, Craft-repair, Assoc-voc, Married-civ-spouse, State-gov, White
25, Male, United-States, Machine-op-inspct, 9th, Married-civ-spouse, Private, White
33, Female, United-States, Other-service, HS-grad, Never-married, Private, White
39, Female, United-States, Sales, HS-grad, Married-civ-spouse, Private, White
53, Female, China, Machine-op-inspct, Bachelors, Married-civ-spouse, Private, Asian-Pac-Islander
26, Female, United-States, Exec-managerial, Bachelors, Never-married, Federal-gov, White
21, Male, United-States, Other-service, Some-college, Never-married, Private, White
18, Male, United-States, Adm-clerical, HS-grad, Never-married, Private, Black
34, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
44, Male, United-States, Prof-specialty, Masters, Married-civ-spouse, State-gov, Black
31, Male, United-States, Craft-repair, HS-grad, Divorced, Private, White
44, Male, United-States, Transport-moving, HS-grad, Married-civ-spouse, Private, White
42, Male, United-States, Prof-specialty, Prof-school, Married-civ-spouse, Private, White
43, Male, Mexico, Machine-op-inspct, HS-grad, Married-civ-spouse, Private, White
33, Male, United-States, Other-service, Bachelors, Married-civ-spouse, Private, Asian-Pac-Islander
21, Female, United-States, Sales, Some-college, Never-married, Private, Black
30, Male, United-States, Handlers-cleaners, HS-grad, Married-civ-spouse, Private, White
55, Male, United-States, Transport-moving, HS-grad, Married-civ-spouse, Private, White
57, Female, United-States, Adm-clerical, Some-college, Never-married, Private, White
37, Male, United-States, Farming-fishing, HS-grad, Never-married, Private, White
32, Male, United-States, Machine-op-inspct, HS-grad, Married-civ-spouse, Private, White
62, Male, United-States, Prof-specialty, Bachelors, Married-civ-spouse, Self-emp-not-inc, White
31, Male, United-States, Sales, Bachelors, Never-married, Self-emp-not-inc, Black
51, Male, France, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
37, Female, United-States, Exec-managerial, Masters, Divorced, Private, White
45, Male, Mexico, Transport-moving, 5th-6th, Married-civ-spouse, Private, White
47, Male, United-States, Machine-op-inspct, Some-college, Married-civ-spouse, Private, White
75, Male, United-States, Exec-managerial, 11th, Married-civ-spouse, Self-emp-not-inc, White
43, Male, United-States, Prof-specialty, Masters, Married-civ-spouse, Private, Other
39, Male, Germany, Craft-repair, Assoc-acdm, Married-civ-spouse, Private, White
30, Male, United-States, Prof-specialty, Bachelors, Married-civ-spouse, Private, White
27, Male, Guatemala, Handlers-cleaners, 5th-6th, Never-married, Private, White
44, Male, United-States, Machine-op-inspct, HS-grad, Married-civ-spouse, Private, Amer-Indian-Eskimo
53, Female, United-States, Prof-specialty, Masters, Divorced, Local-gov, White
40, Male, United-States, Adm-clerical, Bachelors, Married-civ-spouse, Private, White
18, Female, United-States, Sales, 11th, Never-married, Private, White
33, Male, England, Protective-serv, Bachelors, Married-civ-spouse, Private, Black
20, Male, United-States, Sales, HS-grad, Never-married, Private, White
38, Male, United-States, Exec-managerial, Some-college, Married-civ-spouse, Private, Black
48, Female, United-States, Adm-clerical, HS-grad, Divorced, Private, White
46, Male, United-States, Exec-managerial, HS-grad, Married-civ-spouse, Self-emp-not-inc, White
51, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
35, Female, United-States, Other-service, HS-grad, Never-married, Self-emp-not-inc, White
24, Male, Mexico, Handlers-cleaners, 7th-8th, Never-married, Private, White
30, Male, United-States, Handlers-cleaners, Some-college, Divorced, Private, White
70, Male, United-States, Exec-managerial, HS-grad, Married-civ-spouse, Private, White
26, Male, United-States, Transport-moving, HS-grad, Married-civ-spouse, Private, White
34, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
46, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
70, Female, United-States, Adm-clerical, HS-grad, Married-civ-spouse, Private, White
37, Male, United-States, Other-service, Some-college, Married-civ-spouse, Local-gov, White
36, Female, United-States, Sales, Some-college, Divorced, Self-emp-not-inc, White
23, Female, Mexico, Machine-op-inspct, 9th, Never-married, Private, White
28, Male, United-States, Sales, HS-grad, Married-civ-spouse, Private, White
44, Male, United-States, Exec-managerial, Some-college, Married-civ-spouse, Self-emp-not-inc, White
58, Male, United-States, Machine-op-inspct, HS-grad, Divorced, Private, White
53, Male, United-States, Exec-managerial, Some-college, Married-civ-spouse, Private, White
23, Male, United-States, Handlers-cleaners, Some-college, Married-civ-spouse, Private, White
26, Male, United-States, Craft-repair, HS-grad, Never-married, Private, Black
34, Female, United-States, Prof-specialty, Masters, Divorced, Local-gov, White
43, Male, United-States, Craft-repair, 11th, Married-civ-spouse, Private, White
22, Male, United-States, Other-service, Some-college, Never-married, Private, Black
41, Male, United-States, Craft-repair, Some-college, Married-civ-spouse, Private, Amer-Indian-Eskimo
36, Male, Vietnam, Adm-clerical, HS-grad, Married-civ-spouse, Private, Asian-Pac-Islander
41, Female, United-States, Prof-specialty, Bachelors, Married-civ-spouse, Local-gov, White
27, Male, United-States, Adm-clerical, HS-grad, Never-married, Private, White
42, Male, United-States, Farming-fishing, Some-college, Married-civ-spouse, Self-emp-not-inc, White
27, Female, United-States, Adm-clerical, Assoc-voc, Never-married, Private, White
41, Male, United-States, Protective-serv, HS-grad, Divorced, Private, White
32, Female, China, Exec-managerial, Bachelors, Married-civ-spouse, Private, Asian-Pac-Islander
21, Male, United-States, Adm-clerical, Some-college, Never-married, Private, Asian-Pac-Islander
44, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Private, Black
29, Male, United-States, Exec-managerial, Bachelors, Never-married, Private, White
19, Female, United-States, Other-service, Some-college, Never-married, Self-emp-not-inc, White
21, Male, Guatemala, Adm-clerical, Some-college, Never-married, Local-gov, White
46, Male, United-States, Transport-moving, HS-grad, Married-civ-spouse, Private, White
38, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
43, Male, United-States, Adm-clerical, Some-college, Never-married, Private, White
54, Male, United-States, Sales, HS-grad, Married-civ-spouse, Self-emp-inc, White
38, Male, United-States, Exec-managerial, Masters, Married-civ-spouse, Private, White
50, Female, United-States, Adm-clerical, HS-grad, Married-civ-spouse, Private, White
30, Female, United-States, Prof-specialty, Assoc-voc, Married-civ-spouse, Private, White
30, Male, United-States, Craft-repair, 9th, Married-civ-spouse, Private, White
28, Female, United-States, Exec-managerial, HS-grad, Never-married, Local-gov, Amer-Indian-Eskimo
26, Female, United-States, Adm-clerical, Assoc-voc, Never-married, Private, White
37, Male, United-States, Craft-repair, Some-college, Married-civ-spouse, Federal-gov, White
32, Male, United-States, Machine-op-inspct, HS-grad, Married-civ-spouse, Private, White
64, Female, United-States, Prof-specialty, Masters, Married-civ-spouse, State-gov, White
18, Female, United-States, Sales, HS-grad, Never-married, Private, White
30, Male, United-States, Adm-clerical, Some-college, Married-civ-spouse, Private, White
18, Male, United-States, Other-service, 11th, Never-married, Private, Black
27, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
49, Male, United-States, Other-service, 9th, Married-civ-spouse, Private, White
46, Male, United-States, Other-service, HS-grad, Married-civ-spouse, State-gov, White
37, Male, United-States, Adm-clerical, HS-grad, Married-civ-spouse, Private, White
30, Male, United-States, Transport-moving, Some-college, Divorced, Private, White
29, Female, Germany, Prof-specialty, HS-grad, Divorced, Private, Other
25, Male, United-States, Farming-fishing, HS-grad, Married-civ-spouse, Self-emp-not-inc, White
38, Female, United-States, Priv-house-serv, HS-grad, Separated, Private, Black
35, Male, United-States, Craft-repair, Some-college, Married-civ-spouse, Private, White
56, Male, United-States, Adm-clerical, Masters, Married-civ-spouse, Private, White
29, Female, United-States, Exec-managerial, Some-college, Divorced, Private, White
41, Male, United-States, Tech-support, HS-grad, Married-civ-spouse, Private, White
47, Male, United-States, Machine-op-inspct, HS-grad, Married-civ-spouse, Private, White
23, Female, United-States, Adm-clerical, Bachelors, Never-married, Private, Asian-Pac-Islander
46, Male, United-States, Sales, Bachelors, Married-civ-spouse, Self-emp-not-inc, White
28, Male, United-States, Protective-serv, HS-grad, Never-married, Local-gov, Black
39, Female, United-States, Adm-clerical, Bachelors, Divorced, Private, White
42, Female, United-States, Farming-fishing, Some-college, Married-civ-spouse, Self-emp-not-inc, White
39, Male, United-States, Transport-moving, HS-grad, Married-civ-spouse, Private, White
37, Male, United-States, Craft-repair, Bachelors, Married-civ-spouse, Self-emp-inc, White
57, Female, United-States, Prof-specialty, Prof-school, Never-married, Private, White
22, Female, United-States, Other-service, Some-college, Never-married, Private, Black
24, Male, United-States, Adm-clerical, Assoc-voc, Never-married, Private, White
19, Male, United-States, Handlers-cleaners, Some-college, Never-married, Private, White
55, Female, United-States, Sales, Assoc-acdm, Divorced, Private, Black
37, Male, United-States, Protective-serv, HS-grad, Married-civ-spouse, Local-gov, White
37, Female, United-States, Adm-clerical, Some-college, Never-married, Local-gov, Black
28, Male, United-States, Other-service, Bachelors, Married-civ-spouse, Private, White
27, Female, United-States, Other-service, HS-grad, Never-married, Private, White
40, Female, United-States, Prof-specialty, Bachelors, Never-married, State-gov, White
51, Female, United-States, Priv-house-serv, HS-grad, Divorced, Private, White
52, Male, United-States, Transport-moving, Assoc-voc, Married-civ-spouse, Private, White
49, Male, United-States, Exec-managerial, Some-college, Married-civ-spouse, Self-emp-inc, White
40, Female, United-States, Adm-clerical, Some-college, Divorced, Federal-gov, White
80, Male, United-States, Prof-specialty, Some-college, Never-married, Private, White
63, Male, United-States, Protective-serv, Some-college, Married-civ-spouse, Private, White
63, Male, United-States, Transport-moving, HS-grad, Divorced, Private, White
51, Female, United-States, Adm-clerical, Some-college, Divorced, Private, White
23, Female, United-States, Adm-clerical, HS-grad, Never-married, Private, White
66, Male, United-States, Craft-repair, HS-grad, Widowed, Self-emp-not-inc, White
33, Male, United-States, Sales, HS-grad, Married-civ-spouse, Self-emp-not-inc, White
49, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
20, Male, United-States, Transport-moving, Some-college, Never-married, Private, White
33, Male, United-States, Exec-managerial, Assoc-acdm, Married-civ-spouse, Self-emp-inc, White
26, Male, United-States, Protective-serv, Some-college, Married-AF-spouse, Private, White
52, Male, United-States, Exec-managerial, HS-grad, Married-civ-spouse, Private, White
33, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
47, Male, United-States, Sales, Bachelors, Divorced, Private, White
23, Male, United-States, Exec-managerial, HS-grad, Never-married, Private, Black
53, Male, United-States, Adm-clerical, Assoc-acdm, Married-civ-spouse, Federal-gov, White
19, Male, United-States, Other-service, Some-college, Never-married, Private, White
26, Male, United-States, Craft-repair, Some-college, Never-married, Federal-gov, White
53, Male, United-States, Transport-moving, 7th-8th, Married-civ-spouse, Private, White
65, Male, United-States, Machine-op-inspct, HS-grad, Never-married, Private, White
68, Male, United-States, Transport-moving, Bachelors, Married-civ-spouse, Private, White
30, Male, Guatemala, Sales, 10th, Never-married, Private, White
28, Male, United-States, Craft-repair, 11th, Married-civ-spouse, Private, White
54, Male, United-States, Protective-serv, 10th, Married-civ-spouse, Local-gov, White
30, Male, United-States, Other-service, HS-grad, Never-married, Private, White
22, Male, United-States, Adm-clerical, Some-college, Never-married, Private, White
25, Male, United-States, Other-service, HS-grad, Never-married, Private, White
19, Male, United-States, Other-service, 11th, Never-married, Private, White
32, Male, United-States, Prof-specialty, Prof-school, Married-civ-spouse, Federal-gov, White
23, Female, United-States, Exec-managerial, Bachelors, Never-married, Private, White
51, Male, United-States, Prof-specialty, Bachelors, Married-civ-spouse, Local-gov, White
25, Male, United-States, Sales, Some-college, Married-civ-spouse, Private, White
46, Female, United-States, Prof-specialty, Bachelors, Never-married, Local-gov, Black
38, Female, United-States, Tech-support, Some-college, Divorced, Private, White
26, Male, United-States, Protective-serv, HS-grad, Married-civ-spouse, State-gov, Asian-Pac-Islander
46, Female, United-States, Prof-specialty, HS-grad, Divorced, Private, White
25, Female, United-States, Prof-specialty, Bachelors, Never-married, Private, White
20, Female, United-States, Other-service, Some-college, Never-married, Private, White
29, Male, United-States, Prof-specialty, Masters, Married-civ-spouse, Local-gov, White
51, Male, United-States, Exec-managerial, Masters, Married-civ-spouse, Self-emp-inc, White
40, Male, United-States, Craft-repair, Some-college, Married-civ-spouse, Private, White
24, Female, United-States, Adm-clerical, Some-college, Never-married, Private, White
24, Male, United-States, Farming-fishing, Bachelors, Never-married, Self-emp-not-inc, White
31, Female, Mexico, Other-service, Assoc-voc, Married-civ-spouse, Private, Amer-Indian-Eskimo
34, Male, United-States, Craft-repair, Assoc-acdm, Separated, Private, White
19, Male, United-States, Farming-fishing, Some-college, Never-married, Private, White
21, Male, United-States, Transport-moving, HS-grad, Never-married, Private, Black
21, Male, United-States, Farming-fishing, 10th, Married-civ-spouse, Private, White
23, Male, United-States, Transport-moving, Some-college, Married-civ-spouse, Private, White
37, Male, United-States, Craft-repair, Some-college, Never-married, Federal-gov, White
40, Male, United-States, Exec-managerial, Masters, Married-civ-spouse, Private, White
57, Male, United-States, Other-service, HS-grad, Married-civ-spouse, Private, White
48, Male, United-States, Prof-specialty, Bachelors, Married-civ-spouse, Private, White
24, Male, Vietnam, Transport-moving, 11th, Married-civ-spouse, Private, Asian-Pac-Islander
43, Male, United-States, Prof-specialty, Some-college, Married-civ-spouse, Private, White
40, Female, United-States, Other-service, HS-grad, Never-married, Private, White
52, Male, United-States, Prof-specialty, Prof-school, Married-civ-spouse, Self-emp-inc, White
49, Male, United-States, Exec-managerial, HS-grad, Divorced, Private, White
45, Male, United-States, Exec-managerial, Some-college, Married-civ-spouse, Self-emp-not-inc, Amer-Indian-Eskimo
62, Male, United-States, Craft-repair, HS-grad, Never-married, Local-gov, White
29, Male, United-States, Adm-clerical, Assoc-voc, Married-civ-spouse, Private, White
49, Female, United-States, Machine-op-inspct, HS-grad, Separated, Private, White
55, Female, United-States, Adm-clerical, Some-college, Divorced, Federal-gov, Black
37, Male, United-States, Exec-managerial, Bachelors, Never-married, Self-emp-inc, White
43, Male, United-States, Adm-clerical, Bachelors, Married-civ-spouse, State-gov, White
29, Female, United-States, Adm-clerical, Some-college, Divorced, Private, White
44, Female, United-States, Sales, HS-grad, Married-civ-spouse, Private, White
28, Male, United-States, Tech-support, Some-college, Separated, Private, White
38, Female, United-States, Exec-managerial, Some-college, Never-married, Private, White
45, Male, United-States, Sales, Assoc-voc, Married-civ-spouse, Private, White
19, Female, United-States, Other-service, Some-college, Never-married, Private, White
20, Male, United-States, Other-service, 12th, Never-married, Private, White
60, Male, United-States, Handlers-cleaners, HS-grad, Married-civ-spouse, Private, White
30, Female, United-States, Sales, HS-grad, Never-married, Private, White
51, Female, United-States, Sales, Some-college, Divorced, Private, White
48, Female, United-States, Exec-managerial, HS-grad, Divorced, Private, White
43, Male, United-States, Sales, Bachelors, Married-civ-spouse, Private, White
51, Male, United-States, Transport-moving, HS-grad, Divorced, Local-gov, Black
41, Male, United-States, Tech-support, Assoc-voc, Married-civ-spouse, Private, White
50, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, State-gov, Black
46, Female, United-States, Sales, HS-grad, Married-civ-spouse, Private, White
54, Male, United-States, Transport-moving, Some-college, Married-civ-spouse, Private, White
68, Male, United-States, Handlers-cleaners, HS-grad, Married-civ-spouse, Private, White
23, Male, United-States, Craft-repair, Assoc-acdm, Never-married, Self-emp-not-inc, White
49, Female, United-States, Sales, Masters, Never-married, Private, White
24, Male, United-States, Handlers-cleaners, 10th, Married-civ-spouse, Private, White
30, Male, United-States, Protective-serv, HS-grad, Married-civ-spouse, Local-gov, Black
38, Male, United-States, Machine-op-inspct, HS-grad, Married-civ-spouse, Private, White
34, Female, United-States, Sales, HS-grad, Never-married, Private, White
22, Male, United-States, Exec-managerial, Some-college, Never-married, Private, White
30, Male, United-States, Handlers-cleaners, 7th-8th, Separated, Private, White
61, Male, United-States, Transport-moving, 7th-8th, Married-civ-spouse, Private, White
36, Male, United-States, Exec-managerial, HS-grad, Divorced, Private, White
51, Male, United-States, Exec-managerial, Assoc-voc, Married-civ-spouse, Self-emp-inc, White
43, Female, Vietnam, Machine-op-inspct, 5th-6th, Married-civ-spouse, Private, Asian-Pac-Islander
54, Male, United-States, Protective-serv, Some-college, Married-civ-spouse, Federal-gov, White
63, Female, United-States, Prof-specialty, HS-grad, Widowed, Private, White
51, Male, United-States, Exec-managerial, Some-college, Married-civ-spouse, Private, White
63, Male, United-States, Machine-op-inspct, 10th, Married-civ-spouse, Self-emp-not-inc, White
51, Male, United-States, Prof-specialty, Masters, Married-civ-spouse, Local-gov, White
27, Female, United-States, Sales, HS-grad, Divorced, Private, White
35, Male, United-States, Tech-support, Assoc-acdm, Married-civ-spouse, Private, White
46, Male, United-States, Craft-repair, HS-grad, Separated, Self-emp-not-inc, White
53, Male, United-States, Craft-repair, Assoc-voc, Married-civ-spouse, Private, Black
26, Male, United-States, Adm-clerical, Some-college, Divorced, Federal-gov, White
43, Male, United-States, Machine-op-inspct, HS-grad, Never-married, Private, White
39, Male, United-States, Sales, HS-grad, Married-civ-spouse, Private, White
50, Male, United-States, Prof-specialty, HS-grad, Divorced, Federal-gov, White
54, Male, United-States, Adm-clerical, HS-grad, Married-civ-spouse, Federal-gov, White
57, Female, United-States, Prof-specialty, Some-college, Divorced, State-gov, White
29, Male, United-States, Other-service, HS-grad, Never-married, Local-gov, White
20, Male, United-States, Craft-repair, HS-grad, Never-married, Private, Black
53, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
23, Male, El-Salvador, Other-service, HS-grad, Never-married, Private, White
69, Male, United-States, Adm-clerical, 11th, Married-civ-spouse, Private, White
56, Male, United-States, Handlers-cleaners, 7th-8th, Married-civ-spouse, Private, White
53, Male, United-States, Prof-specialty, Bachelors, Married-civ-spouse, Local-gov, Black
28, Male, United-States, Adm-clerical, HS-grad, Never-married, Private, White
28, Male, United-States, Other-service, Bachelors, Married-civ-spouse, Private, Black
33, Male, Taiwan, Exec-managerial, HS-grad, Married-civ-spouse, Self-emp-inc, Asian-Pac-Islander
48, Female, United-States, Sales, HS-grad, Divorced, Private, White
61, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
49, Male, United-States, Prof-specialty, Bachelors, Married-civ-spouse, Private, White
48, Male, United-States, Exec-managerial, Some-college, Married-civ-spouse, Private, White
32, Male, United-States, Craft-repair, 7th-8th, Married-civ-spouse, Private, White
51, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
19, Male, United-States, Other-service, Some-college, Never-married, Private, White
47, Male, United-States, Prof-specialty, HS-grad, Married-civ-spouse, Private, White
25, Male, United-States, Transport-moving, Bachelors, Never-married, Private, White
72, Male, United-States, Protective-serv, Some-college, Married-civ-spouse, Private, Black
29, Male, United-States, Craft-repair, 11th, Divorced, Private, White
22, Female, United-States, Adm-clerical, HS-grad, Never-married, Private, White
57, Male, England, Other-service, HS-grad, Married-civ-spouse, Private, Black
50, Male, Columbia, Adm-clerical, Assoc-acdm, Married-civ-spouse, Private, White
45, Male, United-States, Sales, Some-college, Married-civ-spouse, Self-emp-inc, White
52, Male, United-States, Prof-specialty, Some-college, Divorced, Private, White
53, Male, United-States, Exec-managerial, Masters, Married-civ-spouse, Private, White
36, Male, United-States, Handlers-cleaners, HS-grad, Married-civ-spouse, Private, White
46, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
20, Female, United-States, Sales, HS-grad, Never-married, Private, White
75, Male, United-States, Other-service, 5th-6th, Widowed, Private, Black
32, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Local-gov, White
28, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
53, Female, United-States, Prof-specialty, Masters, Divorced, Private, White
17, Female, United-States, Sales, 11th, Never-married, Private, White
46, Female, United-States, Adm-clerical, Assoc-voc, Divorced, State-gov, White
39, Female, United-States, Prof-specialty, Assoc-acdm, Separated, Private, White
38, Male, United-States, Craft-repair, Some-college, Divorced, Private, White
36, Male, United-States, Machine-op-inspct, HS-grad, Married-civ-spouse, Private, White
63, Female, United-States, Prof-specialty, Bachelors, Never-married, Local-gov, Black
28, Male, Mexico, Machine-op-inspct, 1st-4th, Married-civ-spouse, Private, White
49, Female, United-States, Adm-clerical, HS-grad, Never-married, Private, White
43, Male, Mexico, Machine-op-inspct, Some-college, Married-civ-spouse, Private, White
